/** Mapping to what fields exists in the databuffer */ 

Value          Offset  Length  Divider   Description
command_header   0       4       1       hex(68 a9 41 b0)
generated_id_1   4       4       1       reversed hex notation of the s/n
generated_id_2   8       4       1       reversed hex notation of the s/n
unkown_1        12       4       1       hex(81 02 01 4e)
id              15      16       1       ID of the inverter.
temperature     31       2      10       Temperature recorded by the inverter.
v_pv1           33       2      10       Voltage of PV input channel 1.
v_pv2           35       2      10       Voltage of PV input channel 2.
v_pv3           37       2      10       Voltage of PV input channel 3.
i_pv1           39       2      10       Current of PV input channel 1.
i_pv2           41       2      10       Current of PV input channel 2.
i_pv3           43       2      10       Current of PV input channel 3.
i_ac1           45       2      10       Current of the Inverter AC output channel 1.
i_ac2           47       2      10       Current of the Inverter AC output channel 2.
i_ac3           49       2      10       Current of the Inverter AC output channel 3.
v_ac1           51       2      10       Voltage of the Inverter AC output channel 1.
v_ac2           53       2      10       Voltage of the Inverter AC output channel 2.
v_ac3           55       2      10       Voltage of the Inverter AC output channel 3.
f_ac1           57       2     100       Frequency of the AC output channel 1.
p_ac1           59       2       1       Power output of the AC output channel 1.
f_ac2           62       2     100       Frequency of the AC output channel 2.
p_ac2           63       2       1       Power output of the AC output channel 2.
f_ac3           65       2     100       Frequency of the AC output channel 3.
p_ac3           67       2       1       Power output of the AC output channel 3.
e_today         69       2     100       Energy generated by inverter today in kWh.
e_total         71       4      10       Total energy generated by inverter in kWh.
h_total         75       4       1       Hours the inverter generated electricity.
run_state       79       2       1       RUN State of inverter, 1=Generating power.
checksum    (len-1)      1       1
footer        (len)      1       1       hex(16)
